ID Intervenant,ID Client,geometry_intervenant,Permis,geometry_client,distance,duration
213237245,192451998,POINT (1.2411202 48.7632262),1.0,POINT (1.3327037 48.7263435),11.4 km,12 mins
609468992,192451998,POINT (1.2325806 48.6405554),1.0,POINT (1.3327037 48.7263435),16.0 km,16 mins
818696864,192451998,POINT (1.3579211 48.7447023),1.0,POINT (1.3327037 48.7263435),3.6 km,8 mins
813991780,192451998,POINT (1.0731951 48.6927148),1.0,POINT (1.3327037 48.7263435),21.3 km,21 mins
739888851,192451998,POINT (1.303906 48.75186),1.0,POINT (1.3327037 48.7263435),6.4 km,9 mins
78012267,192451998,POINT (1.3719853 48.7292064),1.0,POINT (1.3327037 48.7263435),3.8 km,8 mins
700168298,192451998,POINT (1.210611 48.7580989),1.0,POINT (1.3327037 48.7263435),13.2 km,14 mins
162858075,552306887,POINT (1.3746477 48.7222691),1.0,POINT (1.3748625 48.7296135),1.3 km,4 mins
78007018,552306887,POINT (1.351054 48.689927),1.0,POINT (1.3748625 48.7296135),5.8 km,10 mins
856089133,552306887,POINT (1.5230773 48.6454179),0.0,POINT (1.3748625 48.7296135),17.8 km,1 hour 1 min
842621873,552306887,POINT (1.3798422 48.728863),1.0,POINT (1.3748625 48.7296135),0.9 km,3 mins
838320706,552306887,POINT (1.3919715 48.7385156),1.0,POINT (1.3748625 48.7296135),2.6 km,5 mins
776399834,552306887,POINT (1.3414973 48.7272205),1.0,POINT (1.3748625 48.7296135),3.9 km,9 mins
854577575,552306887,POINT (1.3579211 48.7447023),0.0,POINT (1.3748625 48.7296135),3.5 km,15 mins
648993440,552306887,POINT (1.2410824 48.7613818),1.0,POINT (1.3748625 48.7296135),13.2 km,16 mins
888888888,552306887,POINT (1.3796637 48.7209265),1.0,POINT (1.3748625 48.7296135),1.7 km,4 mins
480302361,552306887,POINT (1.3827051 48.7302065),1.0,POINT (1.3748625 48.7296135),0.8 km,3 mins
710283561,552306887,POINT (1.374591 48.7325587),1.0,POINT (1.3748625 48.7296135),0.5 km,2 mins
810259688,552306887,POINT (1.356134 48.711115),0.0,POINT (1.3748625 48.7296135),3.4 km,11 mins
