ID Client 1,ID Client 2,geometry_client_1,geometry_client_2,distance_car,duration_car,distance_bike,duration_bike
803656603,78691334,POINT (1.3819999 48.7236),POINT (1.333307 48.705077),5597,564,5608,1272
446362468,78691334,POINT (1.436412 48.7251381),POINT (1.333307 48.705077),10626,955,11405,2514
213156949,78691334,POINT (1.3400246 48.7286767),POINT (1.333307 48.705077),5177,443,3764,825
867813356,78691334,POINT (1.2796346 48.6692689),POINT (1.333307 48.705077),7299,440,6595,1177
658302934,78691334,POINT (1.3825654 48.7399113),POINT (1.333307 48.705077),7917,646,6333,1349
78899980,78691334,POINT (1.3760534 48.7188515),POINT (1.333307 48.705077),4664,413,4976,1156
197274024,78691334,POINT (1.3616833 48.7136486),POINT (1.333307 48.705077),3250,314,3250,611
466678534,78691334,POINT (1.421348 48.7471879),POINT (1.333307 48.705077),11195,895,9673,2029
658187452,78691334,POINT (1.3386537 48.7258805),POINT (1.333307 48.705077),5090,416,3194,717
522610892,78691334,POINT (1.3680115 48.7386889),POINT (1.333307 48.705077),4963,596,4963,1031
530138806,78691334,POINT (1.3463394 48.7384591),POINT (1.333307 48.705077),4958,463,4916,1106
559475456,78867322,POINT (1.3756893 48.7210523),POINT (1.3750785 48.7210831),52,25,52,31
559277088,78867322,POINT (1.3756893 48.7210523),POINT (1.3750785 48.7210831),52,25,52,31
87852633,78867322,POINT (1.4987735 48.691944),POINT (1.3750785 48.7210831),13447,987,13377,2673
243033408,78867322,POINT (1.332848 48.726393),POINT (1.3750785 48.7210831),4355,523,4389,1002
817127257,78867322,POINT (1.3833051 48.7249427),POINT (1.3750785 48.7210831),1092,191,1426,263
480337694,78867322,POINT (1.3390499 48.7297346),POINT (1.3750785 48.7210831),3983,561,3983,908
87274454,78867322,POINT (1.465217 48.6745197),POINT (1.3750785 48.7210831),11015,826,10682,2363
541258495,78867322,POINT (1.2034312 48.771986),POINT (1.3750785 48.7210831),16749,1387,17853,3754
522099746,78867322,POINT (1.3745039 48.7290588),POINT (1.3750785 48.7210831),1477,215,1253,280
192451998,78867322,POINT (1.3327037 48.7263435),POINT (1.3750785 48.7210831),4367,524,4387,1001
552306887,78867322,POINT (1.3748625 48.7296135),POINT (1.3750785 48.7210831),1536,226,1312,290
803656603,78867322,POINT (1.3819999 48.7236),POINT (1.3750785 48.7210831),779,140,874,218
446362468,78867322,POINT (1.436412 48.7251381),POINT (1.3750785 48.7210831),6717,649,6121,1384
213156949,78867322,POINT (1.3400246 48.7286767),POINT (1.3750785 48.7210831),4013,562,4013,908
867813356,78867322,POINT (1.2796346 48.6692689),POINT (1.3750785 48.7210831),12813,838,11298,2339
658302934,78867322,POINT (1.3825654 48.7399113),POINT (1.3750785 48.7210831),4008,340,3173,790
78899980,78867322,POINT (1.3760534 48.7188515),POINT (1.3750785 48.7210831),319,58,319,53
197274024,78867322,POINT (1.3616833 48.7136486),POINT (1.3750785 48.7210831),1562,258,1461,328
466678534,78867322,POINT (1.421348 48.7471879),POINT (1.3750785 48.7210831),6149,579,5839,1392
658187452,78867322,POINT (1.3386537 48.7258805),POINT (1.3750785 48.7210831),5607,531,4649,995
522610892,78867322,POINT (1.3680115 48.7386889),POINT (1.3750785 48.7210831),3247,485,2468,703
530138806,78867322,POINT (1.3463394 48.7384591),POINT (1.3750785 48.7210831),3814,502,3814,903
